name,beers_count,brewery_id,latitude,longitude
Belfast Bay Brewing Company,2.0,97,44.429500579833984,-68.97499847412111
Belhaven Brewery,4.0,98,55.99700164794922,-2.50979995727539
Belize Brewing,1.0,99,17.497699737548828,-88.18669891357422
Bell's Brewery Inc.,25.0,100,42.2843017578125,-85.45379638671875
Bellows Brew Crew,7.0,101,43.19469833374024,-88.72899627685547
Bent River Brewing,1.0,102,41.50590133666992,-90.51709747314452
Berliner Kindl Brauerei AG,1.0,103,52.47930145263672,13.429300308227539
Berliner-Kindl-Schultheiss-Brauerei,1.0,104,52.523399353027344,13.411399841308596
Bersaglier,,105,,
Bethlehem Brew Works,3.0,106,40.62200164794922,-75.38200378417969
Bibiana Brewing,1.0,107,40.110599517822266,-88.2072982788086
Biddy Early Brewery,1.0,108,32.329299926757805,-96.62529754638672
Bierbrouwerij Bavaria,3.0,109,51.51630020141602,5.597700119018555
Bierbrouwerij De Koningshoeven,8.0,110,51.54399871826172,5.128499984741211
Bierbrouwerij De Koningshoeven,8.0,110,51.54399871826172,5.128499984741211
Bierbrouwerij St.Christoffel,2.0,111,51.16839981079102,6.051499843597412
Big Bang Brewery (Closed),1.0,112,37.77560043334961,-122.39800262451172
Big Boss Brewing Company,3.0,113,35.81039810180664,-78.6178970336914
Big Buck Brewery,3.0,114,45.02230072021485,-84.68260192871094
Big Buck Brewery and Steakhouse #2,1.0,115,42.9634017944336,-85.66809844970703
Big Dog's Brewing Company,1.0,116,36.24259948730469,-115.23600006103516
Big Hole Brewing,1.0,117,45.77360153198242,-111.1719970703125
Big Horn Brewing @ The RAM 2,1.0,118,42.151100158691406,-87.91439819335938
Big Ridge Brewing,7.0,119,49.10490036010742,-122.69000244140624
Big River Brewing,7.0,120,49.1343994140625,-123.06500244140624
Big Rock Brewery,5.0,121,50.98469924926758,-113.95600128173828
Big Sky Brewing,7.0,122,46.92229843139648,-114.072998046875
Big Time Brewing,11.0,123,47.65760040283203,-122.31300354003906
Bill's Tavern & Brewhouse,1.0,124,45.89810180664063,-123.96099853515624
Binding Brauerei AG,1.0,125,50.09429931640625,8.691300392150879
Birra Forst,1.0,126,,
Birra Moretti,2.0,127,46.05970001220703,13.226900100708008
Birrificia Le Baladin,4.0,128,44.51530075073242,7.892199993133545
Birrificio Torrechiara,1.0,129,44.660099029541016,10.281399726867676
Bison Brewing,5.0,130,37.86339950561523,-122.25900268554688
Bitburger Brauerei,1.0,131,49.9739990234375,6.52269983291626
"BJ's Pizza, Grill, and Brewery - Jantzen Beach",1.0,132,45.52349853515625,-122.6760025024414
BJ's Restaurant and Brewery,9.0,133,33.91320037841797,-117.88899993896484
Black Sheep Brewery,2.0,134,,
Black Toad Brewing Company,1.0,135,41.88169860839844,-87.69259643554688
